cell,markers
CD4+ T cell,CD3E;CD4
CD4+ naive T cell,CCR7;SELL;CD5;HLA-B;CD62L;IL7R;THPOK
CD4+ memory T cell,CD44;IFNG;S100A4;GPR183
CD4+ effector T cell,CD4;FASLG;IFNG;CD44;FAS
CD4+ Th1,CD3;CD4;IL2;IFNG;IL12R;CXCR3;STAT4;STAT1;IL18
CD4+ Th2,CD3;CD4;IL4;IL5;IL13;CCR4P;IL2
CD4+ Th17,CD3;CD4;IL17A;IL22;IL23R;CCR6;IL1R;CD161;STAT3
CD4+ Th9,CD3;CD4;IL9;PU1;IL9;IL10
CD4+ Th22,CD3;CD4;IL22;CCR10
CD4+ Tfh,CD3;CD4;CXCR5;ICOS;PDCD1;IL21;BCL6;SLAM;OX40L;CD40L;ICOS;IL21R;IL21
CD4+ regulatory T (Treg) cell,FOXP3;IL2RA;CD25;CTLA4;GITR;FOXP3;STAT5;FOXO1
CD8+ T cell,CD3E;CD8A
CD8+ naive,CCR7;SELL
CD8+ effector,CD8A;FASLG;CD44;FAS
¦Ã¦ÄT cell,TRGV9;TRDV2
Cytotoxic T cell,CD3;CD8
Exhausted T cell,CD3;CD8;PD1;TIM3;IB11;LAG3;BLIMP1
Anergic T cell,BTLA;GRAIL;CBLB;ITCH;NEDD4

