gene,type
ENSG00000138134,downregulated
ENSG00000164687,downregulated
ENSG00000177494,downregulated
ENSG00000105011,downregulated
ENSG00000271605,downregulated
ENSG00000076641,downregulated
ENSG00000109255,downregulated
ENSG00000163219,downregulated
ENSG00000137440,downregulated
ENSG00000099194,downregulated
ENSG00000102760,upregulated
ENSG00000088899,upregulated
ENSG00000185909,upregulated
ENSG00000108840,upregulated
ENSG00000143365,upregulated
ENSG00000159403,upregulated
ENSG00000156804,upregulated
ENSG00000033327,upregulated
ENSG00000128052,upregulated
ENSG00000006016,upregulated
