gene,type
ENSG00000084774,downregulated
ENSG00000130816,downregulated
ENSG00000070814,downregulated
ENSG00000129351,downregulated
ENSG00000150753,downregulated
ENSG00000183684,downregulated
ENSG00000113810,downregulated
ENSG00000134758,downregulated
ENSG00000116560,downregulated
ENSG00000182944,downregulated
ENSG00000172534,downregulated
ENSG00000100941,downregulated
ENSG00000187514,downregulated
ENSG00000173638,downregulated
ENSG00000170515,downregulated
ENSG00000189403,downregulated
ENSG00000069275,downregulated
ENSG00000198900,downregulated
ENSG00000137309,downregulated
ENSG00000080824,downregulated
ENSG00000099783,downregulated
ENSG00000113649,downregulated
ENSG00000169727,downregulated
ENSG00000179958,downregulated
ENSG00000141522,downregulated
ENSG00000136450,downregulated
ENSG00000148180,upregulated
ENSG00000116741,upregulated
ENSG00000119801,upregulated
ENSG00000197746,upregulated
ENSG00000090238,upregulated
ENSG00000116209,upregulated
ENSG00000159348,upregulated
ENSG00000245532,upregulated
ENSG00000186594,upregulated
