gene,type
ENSG00000137404,downregulated
ENSG00000111206,downregulated
ENSG00000111665,downregulated
ENSG00000101057,downregulated
ENSG00000112984,downregulated
ENSG00000148773,downregulated
ENSG00000123485,downregulated
ENSG00000115163,downregulated
ENSG00000176890,downregulated
ENSG00000117632,downregulated
ENSG00000134339,upregulated
ENSG00000165474,upregulated
ENSG00000133710,upregulated
ENSG00000111335,upregulated
ENSG00000162591,upregulated
ENSG00000141524,upregulated
ENSG00000124249,upregulated
ENSG00000124102,upregulated
ENSG00000257084,upregulated
ENSG00000143546,upregulated
