SampleID,Tissues,Description,EXTEND Scores
GTEX-U8XE-0426-SM-3DB91,AdiposeSC,AdiposeSubcutaneous,0.22787186
GTEX-WI4N-1126-SM-3LK7Q,AdiposeSC,AdiposeSubcutaneous,0.235522268
GTEX-14E6C-0226-SM-5S2N3,AdiposeSC,AdiposeSubcutaneous,0.238347533
GTEX-YJ8A-0526-SM-5IFHT,AdiposeSC,AdiposeSubcutaneous,0.255585054
GTEX-11TUW-2626-SM-5EQKZ,AdiposeSC,AdiposeSubcutaneous,0.263866605
GTEX-11TT1-2426-SM-5EQMK,AdiposeSC,AdiposeSubcutaneous,0.266902517
GTEX-X88G-0226-SM-4GIE4,AdiposeSC,AdiposeSubcutaneous,0.277007076
GTEX-132AR-0226-SM-5IJBE,AdiposeSC,AdiposeSubcutaneous,0.283834906
GTEX-PLZ5-1826-SM-3NB22,AdiposeSC,AdiposeSubcutaneous,0.284481954
GTEX-SSA3-0226-SM-32QPN,AdiposeSC,AdiposeSubcutaneous,0.285440294
GTEX-144GM-1926-SM-5LUAN,AdiposeSC,AdiposeSubcutaneous,0.28658724
GTEX-QDT8-0226-SM-32PL4,AdiposeSC,AdiposeSubcutaneous,0.287905066
GTEX-TMZS-0226-SM-3DB9N,AdiposeSC,AdiposeSubcutaneous,0.288357374
GTEX-XV7Q-2626-SM-4BRVA,AdiposeSC,AdiposeSubcutaneous,0.290833381
GTEX-146FH-0226-SM-5QGPQ,AdiposeSC,AdiposeSubcutaneous,0.292496955
GTEX-OOBK-0226-SM-2YUMF,AdiposeSC,AdiposeSubcutaneous,0.297076061
GTEX-X638-0226-SM-47JZ9,AdiposeSC,AdiposeSubcutaneous,0.299020331
GTEX-133LE-1926-SM-5N9FV,AdiposeSC,AdiposeSubcutaneous,0.302206851
GTEX-R55G-2426-SM-2TC5I,AdiposeSC,AdiposeSubcutaneous,0.304027418
GTEX-13OVI-1326-SM-5IJBO,AdiposeSC,AdiposeSubcutaneous,0.306360221
GTEX-XMK1-2226-SM-4B673,AdiposeSC,AdiposeSubcutaneous,0.308944895
GTEX-11ZVC-2626-SM-5FQTA,AdiposeSC,AdiposeSubcutaneous,0.30915731
GTEX-144GL-0226-SM-5QGOX,AdiposeSC,AdiposeSubcutaneous,0.311646365
GTEX-SNMC-1326-SM-2XCFK,AdiposeSC,AdiposeSubcutaneous,0.31350311
GTEX-P4QT-0226-SM-3LK68,AdiposeSC,AdiposeSubcutaneous,0.314262914
GTEX-113IC-0226-SM-5HL5C,AdiposeSC,AdiposeSubcutaneous,0.314565351
GTEX-VJYA-1326-SM-3GIJC,AdiposeSC,AdiposeSubcutaneous,0.316651462
GTEX-X4XY-0326-SM-46MVZ,AdiposeSC,AdiposeSubcutaneous,0.318425177
GTEX-11DXX-2326-SM-5Q5A2,AdiposeSC,AdiposeSubcutaneous,0.321880283
GTEX-13PLJ-0126-SM-5L3HU,AdiposeSC,AdiposeSubcutaneous,0.327352049
GTEX-OXRP-0226-SM-3NB14,AdiposeSC,AdiposeSubcutaneous,0.32874642
GTEX-OIZH-0226-SM-2YUMH,AdiposeSC,AdiposeSubcutaneous,0.333356568
GTEX-12WSL-2426-SM-5GCN7,AdiposeSC,AdiposeSubcutaneous,0.335820535
GTEX-QEL4-0326-SM-3GAE5,AdiposeSC,AdiposeSubcutaneous,0.355518493
GTEX-1AX9K-2426-SM-73KZ4,AdiposeSC,AdiposeSubcutaneous,0.357685749
GTEX-1B8SG-0226-SM-7939Q,AdiposeSC,AdiposeSubcutaneous,0.372698471
GTEX-OIZI-0226-SM-2XCEE,AdiposeSC,AdiposeSubcutaneous,0.375044788
GTEX-14A5H-0526-SM-5TDCN,AdiposeSC,AdiposeSubcutaneous,0.393187885
GTEX-14PJ6-2226-SM-6LLIV,AdiposeSC,AdiposeSubcutaneous,0.397076782
GTEX-Q734-1826-SM-2I3EL,AdiposeSC,AdiposeSubcutaneous,0.399665829
GTEX-13YAN-0426-SM-5O9DR,AdiposeSC,AdiposeSubcutaneous,0.413230815
GTEX-T5JC-0526-SM-32PM7,AdiposeSC,AdiposeSubcutaneous,0.42413322
GTEX-13O1R-0226-SM-5K7U5,AdiposeSC,AdiposeSubcutaneous,0.430587974
GTEX-RWSA-0226-SM-2XCBA,AdiposeSC,AdiposeSubcutaneous,0.435099458
GTEX-16YQH-0226-SM-6PALD,AdiposeSC,AdiposeSubcutaneous,0.435472125
GTEX-OXRN-0226-SM-2I5EJ,AdiposeSC,AdiposeSubcutaneous,0.437669914
GTEX-11O72-0226-SM-59869,AdiposeSC,AdiposeSubcutaneous,0.439023178
GTEX-13NYS-0226-SM-5MR49,AdiposeSC,AdiposeSubcutaneous,0.445409821
GTEX-13NZB-2426-SM-5K7UF,AdiposeSC,AdiposeSubcutaneous,0.446312089
GTEX-RM2N-1726-SM-2TF55,AdiposeSC,AdiposeSubcutaneous,0.457710144
GTEX-11UD1-0226-SM-5EQKL,AdiposeSC,AdiposeSubcutaneous,0.457871202
GTEX-16GPK-0226-SM-7DUFI,AdiposeSC,AdiposeSubcutaneous,0.460193187
GTEX-Y3IK-2526-SM-4WWDM,AdiposeSC,AdiposeSubcutaneous,0.462135796
