gene,type
ENSG00000120875,downregulated
ENSG00000136158,downregulated
ENSG00000137801,downregulated
ENSG00000071242,downregulated
ENSG00000153551,downregulated
ENSG00000179715,downregulated
ENSG00000140848,downregulated
ENSG00000135318,downregulated
ENSG00000198113,downregulated
ENSG00000135074,downregulated
ENSG00000155066,upregulated
ENSG00000174469,upregulated
ENSG00000137965,upregulated
ENSG00000183111,upregulated
ENSG00000106211,upregulated
ENSG00000087258,upregulated
ENSG00000197614,upregulated
ENSG00000113389,upregulated
ENSG00000176387,upregulated
ENSG00000145824,upregulated
