symbol,ub_symbol,sub.uniport,ub.uniport,ub.type
APRR1,ADO1,Q9LKL2,Q94BT6,E3
AIP2,AIP2,Q8RXD3,Q8RXD3,E3
ABI3,AIP2,Q01593,Q8RXD3,E3
ATL55,ATL55,Q9LX93,Q9LX93,E3
ABI2,BPM3,O04719,O22286,E3
ABI1,BPM3,P49597,O22286,E3
HAB1,BPM3,Q9CAJ0,O22286,E3
PP2CA,BPM3,P49598,O22286,E3
ABI1,BPM5,P49597,Q1EBV6,E3
HAB1,BPM5,Q9CAJ0,Q1EBV6,E3
PP2CA,BPM5,P49598,Q1EBV6,E3
ABI2,BPM5,O04719,Q1EBV6,E3
FTSH1,CHIP,Q39102,Q9SRS9,E3
CLPP4,CHIP,Q94B60,Q9SRS9,E3
HY5,CIP8,O24646,Q9SPL2,E3
TIFY10A,COI1,Q9LMA8,O04197,E3
TIFY6B,COI1,Q9LVI4,O04197,E3
MYB21,COP1,Q9LK95,P43254,E3
PHYA,COP1,P14712,P43254,E3
HFR1,COP1,Q9FE22,P43254,E3
CRY1,COP1,Q43125,P43254,E3
PIF5,COP1,Q84LH8,P43254,E3
GI,COP1,Q9SQI2,P43254,E3
HY5,COP1,O24646,P43254,E3
CO,COP1,Q39057,P43254,E3
PIF1,COP1,Q8GZM7,P43254,E3
HYH,COP1,Q8W191,P43254,E3
LAF1,COP1,Q9M0K4,P43254,E3
RGL2,CRL1,Q8GXW1,O22809,E3
DREB2A,DRIP1,O82132,Q9M9Y4,E3
DREB2A,DRIP2,O82132,Q94AY3,E3
ABI5,DWA2,Q9SJN0,Q6NPN9,E3
CUL1,EBF1,Q94AH6,Q9SKK0,E3
EIN3,EBF2#EBF1,O24606,Q708Y0#Q9SKK0,E3
ACS5,ETO1,Q37001,O65020,E3
CDKA-1,FBL17,P24100,Q8W104,E3
RGL2,GID2,Q8GXW1,Q9STX3,E3
RGA,GID2,Q9SLH3,Q9STX3,E3
GAI,GID2,Q9LQT8,Q9STX3,E3
SCRM,HOS1,Q9LSE2,Q84JU6,E3
H2B,HUB1,O23629,Q8RXD6,E3
H2B,HUB2,O23629,Q9C895,E3
ABI5,KEG,Q9SJN0,Q9FY48,E3
ABI1,LOG2,P49597,Q9S752,E3
MYB30,MIEL1,Q9SCU7,Q8VZK0,E3
DMT1,ORTH3,P34881,Q9FVS2,E3
CMT3,ORTH3,Q94F88,Q9FVS2,E3
PEX5,PEX12,Q9FMA3,Q9M841,E3
KIN10,PRL1,Q38997,Q42384,E3
FLS2,PUB13,Q9FL28,Q9SNC6,E3
RPN12A,PUB22,Q9SGW3,Q9SVC6,E3
RPN12A,PUB23,Q9SGW3,Q84TG3,E3
MYB15,PUB25,Q9LTC4,Q9LT79,E3
MAPKKK18,RGLG1,Q9ZVP5,Q9SS90,E3
MAPKKK18,RGLG2,Q9ZVP5,Q9LY87,E3
MYB30,RHA2B,Q9SCU7,Q9ZU51,E3
KRP1,RKP,Q67Y93,Q9SIZ8,E3
KRP2,RKP,Q9SCR2,Q9SIZ8,E3
PIP2-1,RMA1,P43286,O64425,E3
ERABP1,RMA2,P33487,P93030,E3
ENO2,SAP5,P25696,Q9LHJ8,E3
DRIP1,SAP5,Q9M9Y4,Q9LHJ8,E3
DRIP2,SAP5,Q94AY3,Q9LHJ8,E3
HSP90-5,SAP5,Q9SIF2,Q9LHJ8,E3
NAC021,SINAT5,Q84TE6,Q8S3N1,E3
EIF4A1,TAMAB2,P41376,-,E3
AT1G17220,TAMAB2,Q9SHI1,-,E3
EIF3G1,TAMAB2,F4J6A1,-,E3
TIF3C1,TAMAB2,O49160,-,E3
TIF3A1,TAMAB2,Q9LD55,-,E3
RPS9,TAMAB2,Q9XJ27,-,E3
ABI5,THO6,Q9SJN0,Q8L4M1,E3
IAA12,TIR1,Q38830,Q570C0,E3
IAA3,TIR1,Q38822,Q570C0,E3
IAA7,TIR1,Q38825,Q570C0,E3
WRKY53,UPL5,Q9SUP6,Q9SU29,E3
ACS4,XBAT32,Q43309,Q6NLQ8,E3
ACS7,XBAT32,Q9STR4,Q6NLQ8,E3
ELF3,XBAT35,O82804,Q4FE47,E3
RHOA,KCTD13,P61585,Q2T9W0,E3
AURKB,KLHL21,Q7YRC6,Q08DS0,E3
FIS1,MARCHF5,Q3T0I5,Q3ZC24,E3
PCNA,PAXIP1,Q3ZBW4,A0JNA8,E3
RNF220,RNF220,Q08DV5,Q08DV5,E3
BMI1,SPOP,Q32KX7,Q0VCW1,E3
TRIM17,TRIM17,Q2T9Z0,Q2T9Z0,E3
USP4,TRIM21,A6QR55,Q7YRV4,E3
IKBKB,TRIM21,Q95KV0,Q7YRV4,E3
HIS-68,BRD-1,P09588,Q21209,E3
VPS-34,CHN-1,Q9TXI7,G5ECY6,E3
DAF-2,CHN-1,Q968Y9,G5ECY6,E3
RPY-1,DELETED,Q09485,O61899,E3
DELETED,DELETED,Q09981,Q9BMU2,E3
SKN-1,EEL-1,P34707,Q9GUP2,E3
OGT-1,EEL-1,O18158,Q9GUP2,E3
UNC-10,FBXL-1,Q22366,P34284,E3
TRA-1,FEM-1,P34708,P17221,E3
SKR1,FPAB1,G5ECU1,Q557E4,E3
CYB3,MAT2,Q10654,O18191,E3
SAS5,MAT3,Q20010,Q19294,E3
MEI-1,MEL-26,P34808,Q94420,E3
FIGL-1,MEL-26,O16299,Q94420,E3
LIN12,MIB1,P14585,Q9U2C5,E3
GLP1,MIB1,P13508,Q9U2C5,E3
CEBP1,RPM1,Q18909,Q17551,E3
UNC-51,RPM-1,Q23023,Q17551,E3
DLK-1,RPM-1,O01700,Q17551,E3
LIN-41,SEL-10,Q9U489,Q17389,E3
ATLN-1,SEL-11,Q9BMU4,Q20798,E3
SRC-1,SLI-1,G5EE56,Q19019,E3
HIS68,SPAT3,P09588,H2KYH3,E3
