gene,type
ENSG00000137337,downregulated
ENSG00000148840,downregulated
ENSG00000084774,downregulated
ENSG00000276043,downregulated
ENSG00000109685,downregulated
ENSG00000132780,downregulated
ENSG00000111605,downregulated
ENSG00000130816,downregulated
ENSG00000070814,downregulated
ENSG00000143815,downregulated
ENSG00000259781,downregulated
ENSG00000143621,downregulated
ENSG00000165480,downregulated
ENSG00000010292,downregulated
ENSG00000116062,downregulated
ENSG00000180198,downregulated
ENSG00000075856,downregulated
ENSG00000153187,downregulated
ENSG00000133226,downregulated
ENSG00000011304,downregulated
ENSG00000087365,downregulated
ENSG00000143799,downregulated
ENSG00000110958,downregulated
ENSG00000163918,downregulated
ENSG00000088247,downregulated
ENSG00000124795,downregulated
ENSG00000136938,downregulated
ENSG00000129351,downregulated
ENSG00000136699,downregulated
ENSG00000079616,downregulated
ENSG00000150753,downregulated
ENSG00000197771,downregulated
ENSG00000108424,downregulated
ENSG00000149136,downregulated
ENSG00000183684,downregulated
ENSG00000204469,downregulated
ENSG00000163655,downregulated
ENSG00000166938,downregulated
ENSG00000128951,downregulated
ENSG00000092470,downregulated
ENSG00000113810,downregulated
ENSG00000134758,downregulated
ENSG00000116560,downregulated
ENSG00000132967,downregulated
ENSG00000123737,downregulated
ENSG00000084463,downregulated
ENSG00000144580,downregulated
ENSG00000182944,downregulated
ENSG00000172534,downregulated
ENSG00000143368,downregulated
ENSG00000100941,downregulated
ENSG00000156304,downregulated
ENSG00000187514,downregulated
ENSG00000173638,downregulated
ENSG00000104969,downregulated
ENSG00000077312,downregulated
ENSG00000196313,downregulated
ENSG00000163950,downregulated
ENSG00000170515,downregulated
ENSG00000123136,downregulated
ENSG00000096384,downregulated
ENSG00000136527,downregulated
ENSG00000155506,downregulated
ENSG00000189403,downregulated
ENSG00000143569,downregulated
ENSG00000069275,downregulated
ENSG00000179262,downregulated
ENSG00000160208,downregulated
ENSG00000109084,downregulated
ENSG00000143321,downregulated
ENSG00000108829,downregulated
ENSG00000198900,downregulated
ENSG00000137309,downregulated
ENSG00000080824,downregulated
ENSG00000272391,downregulated
ENSG00000115568,downregulated
ENSG00000165119,downregulated
ENSG00000108344,downregulated
ENSG00000099783,downregulated
ENSG00000143294,downregulated
ENSG00000120685,downregulated
ENSG00000105364,downregulated
ENSG00000095319,downregulated
ENSG00000117713,downregulated
ENSG00000110107,downregulated
ENSG00000198824,downregulated
ENSG00000103148,downregulated
ENSG00000124422,downregulated
ENSG00000113649,downregulated
ENSG00000168883,downregulated
ENSG00000239306,downregulated
ENSG00000103194,downregulated
ENSG00000117632,downregulated
ENSG00000160214,downregulated
ENSG00000169727,downregulated
ENSG00000150768,downregulated
ENSG00000116221,downregulated
ENSG00000164985,downregulated
ENSG00000134697,downregulated
ENSG00000197905,downregulated
ENSG00000138796,downregulated
ENSG00000163528,downregulated
ENSG00000112081,downregulated
ENSG00000051825,downregulated
ENSG00000179958,downregulated
ENSG00000175832,downregulated
ENSG00000102054,downregulated
ENSG00000141522,downregulated
ENSG00000114867,downregulated
ENSG00000136450,downregulated
ENSG00000099956,downregulated
ENSG00000108468,downregulated
ENSG00000177106,upregulated
ENSG00000148180,upregulated
ENSG00000183255,upregulated
ENSG00000153029,upregulated
ENSG00000160862,upregulated
ENSG00000101439,upregulated
ENSG00000116741,upregulated
ENSG00000119801,upregulated
ENSG00000197746,upregulated
ENSG00000012822,upregulated
ENSG00000090238,upregulated
ENSG00000115295,upregulated
ENSG00000116209,upregulated
ENSG00000159348,upregulated
ENSG00000138688,upregulated
ENSG00000265972,upregulated
ENSG00000269028,upregulated
ENSG00000215252,upregulated
ENSG00000245532,upregulated
ENSG00000165861,upregulated
ENSG00000003402,upregulated
ENSG00000186594,upregulated
ENSG00000172869,upregulated
ENSG00000111897,upregulated
ENSG00000140945,upregulated
ENSG00000135404,upregulated
ENSG00000116005,upregulated
