external_gene_name,ensembl_peptide_id
IMPA2,ENSP00000269159
MED15,ENSP00000263205
OSM,ENSP00000215781
RSPO4,ENSP00000217260
DEFB129,ENSP00000246105
TMX4,ENSP00000246024
FBXO7,ENSP00000266087
SLC14A2,ENSP00000255226
RALBP1,ENSP00000019317
PCSK2,ENSP00000262545
CST8,ENSP00000246012
ISM1,ENSP00000262487
SNRPB2,ENSP00000246071
ANKRD12,ENSP00000262126
NUBPL,ENSP00000281081
APMAP,ENSP00000217456
SKA1,ENSP00000285116
DSTN,ENSP00000246069
TXNDC16,ENSP00000281741
SCRT2,ENSP00000246104
HRH4,ENSP00000256906
TMPRSS15,ENSP00000284885
MCAT,ENSP00000290429
SLC5A1,ENSP00000266088
CXADR,ENSP00000284878
LIF,ENSP00000249075
CBX7,ENSP00000216133
ACSS2,ENSP00000253382
PNPLA3,ENSP00000216180
EFCAB6,ENSP00000262726
PEBP4,ENSP00000256404
RNF165,ENSP00000269439
DLC1,ENSP00000276297
ZBED4,ENSP00000216268
JAG1,ENSP00000254958
SMAD2,ENSP00000262160
ICE1,ENSP00000296564
L3HYPDH,ENSP00000247194
CLDN17,ENSP00000286808
ADAMTS16,ENSP00000274181
MFHAS1,ENSP00000276282
SIX4,ENSP00000216513
RAB27B,ENSP00000262094
FASTKD3,ENSP00000264669
SCAF4,ENSP00000286835
TXNL1,ENSP00000217515
DHRS7,ENSP00000216500
ERICH1,ENSP00000262109
CCT8,ENSP00000286788
STC1,ENSP00000290271
SOGA1,ENSP00000237536
GAREM1,ENSP00000269209
MNAT1,ENSP00000261245
KIAA1755,ENSP00000279024
DHX35,ENSP00000252011
NAT2,ENSP00000286479
HUNK,ENSP00000270112
C21orf91,ENSP00000284881
MED10,ENSP00000255764
NPC1,ENSP00000269228
MTRR,ENSP00000264668
ZNF24,ENSP00000261332
TTLL12,ENSP00000216129
EGLN3,ENSP00000250457
ELMO2,ENSP00000290246
NUP155,ENSP00000231498
MSR1,ENSP00000262101
LTBP2,ENSP00000261978
ANKRD33B,ENSP00000296657
JDP2,ENSP00000267569
RMC1,ENSP00000269221
DOCK5,ENSP00000276440
CDH20,ENSP00000262717
RICTOR,ENSP00000296782
RNF114,ENSP00000244061
