gene,type
ENSG00000154319,downregulated
ENSG00000008405,downregulated
ENSG00000136856,downregulated
ENSG00000078399,downregulated
ENSG00000155893,downregulated
ENSG00000176396,downregulated
ENSG00000183741,downregulated
ENSG00000102967,downregulated
ENSG00000168765,downregulated
ENSG00000099381,downregulated
ENSG00000109472,upregulated
ENSG00000085552,upregulated
ENSG00000176092,upregulated
ENSG00000185100,upregulated
ENSG00000163216,upregulated
ENSG00000134317,upregulated
ENSG00000104419,upregulated
ENSG00000181458,upregulated
ENSG00000189143,upregulated
ENSG00000074181,upregulated
