SampleID,Cancer,Sample Code,Sample Type,EXTEND Scores
TCGA.OR.A5J1.01A.11R.A29S.07,ACC,01,tumor,0.435929388
TCGA.OR.A5J2.01A.11R.A29S.07,ACC,01,tumor,0.319826193
TCGA.OR.A5J3.01A.11R.A29S.07,ACC,01,tumor,0.318357467
TCGA.OR.A5J5.01A.11R.A29S.07,ACC,01,tumor,0.493973506
TCGA.OR.A5J6.01A.31R.A29S.07,ACC,01,tumor,0.214376171
TCGA.OR.A5J7.01A.11R.A29S.07,ACC,01,tumor,0.524659776
TCGA.OR.A5J8.01A.11R.A29S.07,ACC,01,tumor,0.290029125
TCGA.OR.A5J9.01A.11R.A29S.07,ACC,01,tumor,0.466539041
TCGA.OR.A5JA.01A.11R.A29S.07,ACC,01,tumor,0.355132058
TCGA.OR.A5JB.01A.11R.A29S.07,ACC,01,tumor,0.415908888
TCGA.OR.A5JC.01A.11R.A29S.07,ACC,01,tumor,0.408979896
TCGA.OR.A5JD.01A.11R.A29S.07,ACC,01,tumor,0.232747552
TCGA.OR.A5JE.01A.11R.A29S.07,ACC,01,tumor,0.502201338
TCGA.OR.A5JF.01A.11R.A29S.07,ACC,01,tumor,0.214387671
TCGA.OR.A5JG.01A.11R.A29S.07,ACC,01,tumor,0.56382872
TCGA.OR.A5JI.01A.11R.A29S.07,ACC,01,tumor,0.174602518
TCGA.OR.A5JJ.01A.11R.A29S.07,ACC,01,tumor,0.400896292
TCGA.OR.A5JK.01A.11R.A29S.07,ACC,01,tumor,0.263392597
TCGA.OR.A5JL.01A.11R.A29S.07,ACC,01,tumor,0.193434014
TCGA.OR.A5JM.01A.11R.A29S.07,ACC,01,tumor,0.54012426
TCGA.OR.A5JO.01A.11R.A29S.07,ACC,01,tumor,0.250228308
TCGA.OR.A5JP.01A.11R.A29S.07,ACC,01,tumor,0.56011592
TCGA.OR.A5JQ.01A.11R.A29S.07,ACC,01,tumor,0.215066156
TCGA.OR.A5JR.01A.11R.A29S.07,ACC,01,tumor,0.274917826
TCGA.OR.A5JS.01A.11R.A29S.07,ACC,01,tumor,0.642863065
TCGA.OR.A5JT.01A.11R.A29S.07,ACC,01,tumor,0.391016775
TCGA.OR.A5JV.01A.11R.A29S.07,ACC,01,tumor,0.320482161
TCGA.OR.A5JW.01A.11R.A29S.07,ACC,01,tumor,0.326714893
TCGA.OR.A5JX.01A.11R.A29S.07,ACC,01,tumor,0.314815439
TCGA.OR.A5JY.01A.31R.A29S.07,ACC,01,tumor,0.356023713
TCGA.OR.A5JZ.01A.11R.A29S.07,ACC,01,tumor,0.541772163
TCGA.OR.A5K0.01A.11R.A29S.07,ACC,01,tumor,0.358695777
TCGA.OR.A5K1.01A.11R.A29S.07,ACC,01,tumor,0.516656958
TCGA.OR.A5K2.01A.11R.A29S.07,ACC,01,tumor,0.5270095
TCGA.OR.A5K3.01A.11R.A29S.07,ACC,01,tumor,0.369092615
TCGA.OR.A5K4.01A.11R.A29S.07,ACC,01,tumor,0.311997697
TCGA.OR.A5K5.01A.11R.A29S.07,ACC,01,tumor,0.433942551
TCGA.OR.A5K6.01A.11R.A29S.07,ACC,01,tumor,0.309668401
TCGA.OR.A5K8.01A.11R.A29S.07,ACC,01,tumor,0.277915764
TCGA.OR.A5K9.01A.11R.A29S.07,ACC,01,tumor,0.525965472
