NUMBER	SwissProt ID (E3)	SwissProt ID (Substrate)	SwissProt AC (E3)	SwissProt AC (Substrate)	Gene Symbol (E3)	Gene Symbol (Substrate)	SOURCE	SOURCEID	SENTENCE	E3TYPE	COUNT	type	species
1	ADO1_ARATH	APRR1_ARATH	Q94BT6	Q9LKL2	ADO1	APRR1	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
2	AIP2_ARATH	AIP2_ARATH	Q8RXD3	Q8RXD3	AIP2	AIP2	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
3	AIP2_ARATH	ABI3_ARATH	Q8RXD3	Q01593	AIP2	ABI3	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
4	ATL55_ARATH	ATL55_ARATH	Q9LX93	Q9LX93	ATL55	ATL55	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
5	BPM3_ARATH	P2C77_ARATH	O22286	O04719	BPM3	ABI2	MEDLINE	31308219	The MATH-BTB <span class="match term0">BPM3</span> and BPM5 subunits of Cullin3-RING E3 ubiquitin ligases target PP2CA and other clade A PP2Cs for degradation.	Other	1	Other	A.thaliana
6	BPM3_ARATH	P2C56_ARATH	O22286	P49597	BPM3	ABI1	MEDLINE	31308219	The MATH-BTB <span class="match term0">BPM3</span> and BPM5 subunits of Cullin3-RING E3 ubiquitin ligases target PP2CA and other clade A PP2Cs for degradation.	Other	1	Other	A.thaliana
7	BPM3_ARATH	P2C16_ARATH	O22286	Q9CAJ0	BPM3	HAB1	MEDLINE	31308219	UbiNet 2.0	Other	1	Other	A.thaliana
8	BPM3_ARATH	P2C37_ARATH	O22286	P49598	BPM3	PP2CA	MEDLINE	31308219	UbiNet 2.0	Other	1	Other	A.thaliana
9	BPM5_ARATH	P2C56_ARATH	Q1EBV6	P49597	BPM5	ABI1	MEDLINE	31308219	The MATH-BTB BPM3 and <span class="match term0">BPM5</span> subunits of Cullin3-RING E3 ubiquitin ligases target PP2CA and other clade A PP2Cs for degradation.	Other	1	Other	A.thaliana
10	BPM5_ARATH	P2C16_ARATH	Q1EBV6	Q9CAJ0	BPM5	HAB1	MEDLINE	31308219	UbiNet 2.0	Other	1	Other	A.thaliana
11	BPM5_ARATH	P2C37_ARATH	Q1EBV6	P49598	BPM5	PP2CA	MEDLINE	31308219	UbiNet 2.0	Other	1	Other	A.thaliana
12	BPM5_ARATH	P2C77_ARATH	Q1EBV6	O04719	BPM5	ABI2	MEDLINE	31308219	The MATH-BTB BPM3 and <span class="match term0">BPM5</span> subunits of Cullin3-RING E3 ubiquitin ligases target PP2CA and other clade A PP2Cs for degradation.	Other	1	Other	A.thaliana
13	CHIP_ARATH	FTSH1_ARATH	Q9SRS9	Q39102	CHIP	FTSH1	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
14	CHIP_ARATH	CLPP4_ARATH	Q9SRS9	Q94B60	CHIP	CLPP4	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
15	CIP8_ARATH	HY5_ARATH	Q9SPL2	O24646	CIP8	HY5	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
16	COI1_ARATH	TI10A_ARATH	O04197	Q9LMA8	COI1	TIFY10A	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
17	COI1_ARATH	TIF6B_ARATH	O04197	Q9LVI4	COI1	TIFY6B	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
18	COP1_ARATH	MYB21_ARATH	P43254	Q9LK95	COP1	MYB21	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
19	COP1_ARATH	PHYA_ARATH	P43254	P14712	COP1	PHYA	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
20	COP1_ARATH	HFR1_ARATH	P43254	Q9FE22	COP1	HFR1	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
21	COP1_ARATH	CRY1_ARATH	P43254	Q43125	COP1	CRY1	MEDLINE	11752373	The signaling mechanism of Arabidopsis <span class="match term1">CRY1</span> involves direct interaction with <span class="match term0">COP1</span>.	Other	1	Other	A.thaliana
22	COP1_ARATH	PIF5_ARATH	P43254	Q84LH8	COP1	PIF5	MEDLINE	30144338	Furthermore, <span class="match term0">COP1</span> and SPA proteins stabilize <span class="match term1">PIF5</span> in the dark, but promote the ubiquitination and degradation of <span class="match term1">PIF5</span> in response to red light through the 26S proteasome pathway	Other	1	Other	A.thaliana
23	COP1_ARATH	GIGAN_ARATH	P43254	Q9SQI2	COP1	GI	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
24	COP1_ARATH	HY5_ARATH	P43254	O24646	COP1	HY5	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
25	COP1_ARATH	CONS_ARATH	P43254	Q39057	COP1	CO	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
26	COP1_ARATH	PIF1_ARATH	P43254	Q8GZM7	COP1	PIF1	MEDLINE	26037329	UbiNet 2.0	Other	1	Other	A.thaliana
27	COP1_ARATH	HYH_ARATH	P43254	Q8W191	COP1	HYH	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
28	COP1_ARATH	LAF1_ARATH	P43254	Q9M0K4	COP1	LAF1	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
29	O22809_ARATH	RGL2_ARATH	O22809	Q8GXW1	CRL1	RGL2	MEDLINE	29462139	We provide genetic evidence to demonstrate that the germination phenotype of csn1-10 is caused by over-accumulation of <span class="match term1">RGL2</span>, a substrate of the SCF (<span class="match term0">CRL1</span>) ubiquitin E3 ligase, while the csn5a-1 phenotype is caused by over-accumulation of RGL2 as well as ABI5	Other	1	Other	A.thaliana
30	DRIP1_ARATH	DRE2A_ARATH	Q9M9Y4	O82132	DRIP1	DREB2A	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
31	DRIP2_ARATH	DRE2A_ARATH	Q94AY3	O82132	DRIP2	DREB2A	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
32	DWA2_ARATH	ABI5_ARATH	Q6NPN9	Q9SJN0	DWA2	ABI5	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
33	EBF1_ARATH	CUL1_ARATH	Q9SKK0	Q94AH6	EBF1	CUL1	MEDLINE	29643073	The ubiquitin E3 ligase complex containing Skp1, Cullin1, and the F-box protein <span class="match term0">EBF1</span> or EBF2 (SCFEBF1/2) target the degradation of EIN3, the master transcription factor in ethylene signaling	Other	1	Other	A.thaliana
34	EBF2_ARATH#EBF1_ARATH	EIN3_ARATH	Q708Y0#Q9SKK0	O24606	EBF2#EBF1	EIN3	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
35	ETO1_ARATH	1A15_ARATH	O65020	Q37001	ETO1	ACS5	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
36	FBL17_ARATH	CDKA1_ARATH	Q8W104	P24100	FBL17	CDKA-1	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
37	GID2_ARATH	RGL2_ARATH	Q9STX3	Q8GXW1	GID2	RGL2	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
38	GID2_ARATH	RGA_ARATH	Q9STX3	Q9SLH3	GID2	RGA	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
39	GID2_ARATH	GAI_ARATH	Q9STX3	Q9LQT8	GID2	GAI	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
