Entrez	Symbol	Name	Entrez	Uniprot
7529	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	7529	P31946
7531	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	7531	P62258
7533	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	7533	Q04917
7532	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	7532	P61981
2810	SFN	stratifin	2810	P31947
10971	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	10971	P27348
7534	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	7534	P63104
84680	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	Q96QU6
390110	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	Q4AC99
5525	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	5525	Q15172
5526	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta	5526	Q15173
5528	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta	5528	Q14738
5529	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	5529	Q16537
5527	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	5527	Q13362
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	5518	P30153
5519	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	5519	P30154
5520	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	5520	P63151
5521	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	5521	Q00005
55844	PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta	55844	Q66LE6
5522	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	5522	Q9Y2T4
3283	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	3283	P14060
3284	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	3284	P26439
80270	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	80270	Q9H2F3
23616	SH3BP1	SH3 domain binding protein 1	23616	Q9Y3L3
6452	SH3BP2	SH3 domain binding protein 2	6452	P78314
80851	SH3BP5L	SH3 binding domain protein 5 like	80851	Q7L8J4
9467	SH3BP5	SH3 domain binding protein 5	9467	O60239
23498	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	23498	P46952
11112	HIBADH	3-hydroxyisobutyrate dehydrogenase	11112	P31937
4350	MPG	N-methylpurine DNA glycosylase	4350	P29372
1978	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	1978	Q13541
1979	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	1979	Q13542
8637	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	8637	O60516
56478	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1	56478	Q9NRA8
6520	SLC3A2	solute carrier family 3 member 2	6520	P08195
3350	HTR1A	5-hydroxytryptamine receptor 1A	3350	P08908
3351	HTR1B	5-hydroxytryptamine receptor 1B	3351	P28222
3352	HTR1D	5-hydroxytryptamine receptor 1D	3352	P28221
3354	HTR1E	5-hydroxytryptamine receptor 1E	3354	P28566
3355	HTR1F	5-hydroxytryptamine receptor 1F	3355	P30939
3356	HTR2A	5-hydroxytryptamine receptor 2A	3356	P28223
3357	HTR2B	5-hydroxytryptamine receptor 2B	3357	P41595
3358	HTR2C	5-hydroxytryptamine receptor 2C	3358	P28335
3359	HTR3A	5-hydroxytryptamine receptor 3A	3359	P46098
9177	HTR3B	5-hydroxytryptamine receptor 3B	9177	O95264
170572	HTR3C	5-hydroxytryptamine receptor 3C	170572	Q8WXA8
200909	HTR3D	5-hydroxytryptamine receptor 3D	200909	Q70Z44
285242	HTR3E	5-hydroxytryptamine receptor 3E	285242	A5X5Y0
3360	HTR4	5-hydroxytryptamine receptor 4	3360	Q13639
3361	HTR5A	5-hydroxytryptamine receptor 5A	3361	P47898
3362	HTR6	5-hydroxytryptamine receptor 6	3362	P50406
3363	HTR7	5-hydroxytryptamine receptor 7	3363	P34969
28969	BZW2	basic leucine zipper and W2 domains 2	28969	Q9Y6E2
