NUMBER	SwissProt ID (DUB)	SwissProt ID (Substrate)	SwissProt AC (DUB)	SwissProt AC (Substrate)	Gene Symbol (DUB)	Gene Symbol (Substrate)	SOURCE	SOURCEID	SENTENCE	DUBTYPE	COUNT	type	species
1	UBP13_ARATH	DAR2_ARATH	Q84WU2	Q0WSN2	UBP13	DAR2	MEDLINE	32209225	UBP12 and <span class="match term0">UBP13</span> negatively regulate the activity of the ubiquitin-dependent peptidases DA1, DAR1 and <span class="match term1">DAR2</span>	USP	1	Other	A.thaliana
2	UBP13_ARATH	NAC92_ARATH	Q84WU2	Q9FKA0	UBP13	NAC92	MEDLINE	31050353	We found that UBP12/<span class="match term0">UBP13</span> can deubiquitinate polyubiquitinated ORE1 in vitro and increase the stability of ORE1 in vivo in MG132/cycloheximide-chase experiments	USP	1	Other	A.thaliana
3	Q7JMS4_CAEEL	CEP1_CAEEL	Q7JMS4	Q20646	cyld-1	cep-1	MEDLINE	29394249	29394249	Other	1	Other	C.elegans
4	Q93875_CAEEL	FBRL_CAEEL	Q93875	Q22053	usp-33	fib-1	MEDLINE	31914708	31914708	USP	1	Other	C.elegans
5	UBP46_CAEEL	GLR1_CAEEL	P34547	P34299	usp-46	glr-1	MEDLINE	32587090	We have previously shown that the DUB ubiquitin-specific protease 46 (USP-46) removes ubiquitin from the glutamate receptor GLR-1 and regulates its trafficking and degradation in Caenorhabditis elegans We found that the WD40-repeat proteins WDR-20 and WDR-48 bind and stimulate the catalytic activity of USP-46	USP	1	Other	C.elegans
6	Q7JMS4_CAEEL	AP1M_CAEEL	Q7JMS4	P35602	cyld-1	unc-101	MEDLINE	29394249	29394249	other	1	Other	C.elegans
7	Q9VDD8_DROME	Q95SH2_DROME	Q9VDD8	Q95SH2	Usp8	Chmp1	MEDLINE	29933386	29933386	USP	1	Other	D.melanogaster
8	CALYP_DROME	H2A_DROME	Q7K5N4	P84051	calypso	His2A:CG33865	MEDLINE	30349006	30349006	UCH	1	Other	D.melanogaster
9	CALYP_DROME	H2AV_DROME	Q7K5N4	P08985	calypso	His2Av	MEDLINE	31130514	31130514	UCH	1	Other	D.melanogaster
10	TRA1_DROME	H2B_DROME	Q8I8U7	P02283	Nipped-A	His2B:CG33910	MEDLINE	31538360	<span class="match term0">Nipped-A</span> regulates the Drosophila circadian clock via histone deubiquitination	Other	1	Other	D.melanogaster
11	Q9W0L7_DROME	YAP1_DROME	Q9W0L7	Q45VV3	Usp10	yki	MEDLINE	31795326	Here, we provide evidence that the deubiquitinating enzyme ubiquitin-specific protease 10 (<span class="match term0">Usp10</span>) binds <span class="match term1">Yki</span> to counteract <span class="match term1">Yki</span> ubiquitination and stabilize <span class="match term1">Yki</span> protein in Drosophila S2 cells	Other	1	Other	D.melanogaster
12	Q9VDD8_DROME	MARF_DROME	Q9VDD8	Q7YU24	Usp8	Marf	MEDLINE	30988163	A targeted RNA interference screen for deubiquitinating enzymes (DUBs) affecting protein levels of multifunctional mitochondrial fusion protein Mitofusin (MFN) identified <span class="match term0">USP8</span> prominently influencing MFN levels	USP	1	Other	D.melanogaster
13	F1RBA1_DANRE	Q05AN5_DANRE	F1RBA1	Q05AN5	usp38	bbs4	MEDLINE	31723061	31723061	USP	1	Other	D.rerio
